value,coordinates,sensor_id,flagInfo.hasFlags,parameter.id,parameter.name,parameter.units,parameter.displayName,period.label,period.interval,period.datetimeFrom.utc,period.datetimeFrom.local,period.datetimeTo.utc,period.datetimeTo.local,summary.min,summary.q02,summary.q25,summary.median,summary.q75,summary.q98,summary.max,summary.avg,summary.sd,coverage.expectedCount,coverage.expectedInterval,coverage.observedCount,coverage.observedInterval,coverage.percentComplete,coverage.percentCoverage,coverage.datetimeFrom.utc,coverage.datetimeFrom.local,coverage.datetimeTo.utc,coverage.datetimeTo.local
18.2,,8539597,False,2,pm25,µg/m³,,1day,24:00:00,2024-03-19T15:00:00Z,2024-03-20T00:00:00+09:00,2024-03-20T15:00:00Z,2024-03-21T00:00:00+09:00,12.0,12.0,16.0,18.0,21.25,23.700000762939453,24.0,18.1875,3.7097842693328857,24,24:00:00,16,16:00:00,67.0,67.0,2024-03-20T00:00:00Z,2024-03-20T09:00:00+09:00,2024-03-20T15:00:00Z,2024-03-21T00:00:00+09:00
18.0,,8539597,False,2,pm25,µg/m³,,1day,24:00:00,2024-03-20T15:00:00Z,2024-03-21T00:00:00+09:00,2024-03-21T15:00:00Z,2024-03-22T00:00:00+09:00,15.0,15.119999885559082,17.0,18.0,19.5,20.0,20.0,18.0,1.9148541688919067,24,24:00:00,7,07:00:00,29.0,29.0,2024-03-20T16:00:00Z,2024-03-21T01:00:00+09:00,2024-03-20T22:00:00Z,2024-03-21T07:00:00+09:00
11.3,,8539597,False,2,pm25,µg/m³,,1day,24:00:00,2024-03-21T15:00:00Z,2024-03-22T00:00:00+09:00,2024-03-22T15:00:00Z,2024-03-23T00:00:00+09:00,6.0,6.599999904632568,10.0,11.0,12.5,15.800000190734863,16.0,11.272727012634277,2.7961010932922363,24,24:00:00,11,11:00:00,46.0,46.0,2024-03-22T03:00:00Z,2024-03-22T12:00:00+09:00,2024-03-22T13:00:00Z,2024-03-22T22:00:00+09:00
29.3,,8539597,False,2,pm25,µg/m³,,1day,24:00:00,2024-03-22T15:00:00Z,2024-03-23T00:00:00+09:00,2024-03-23T15:00:00Z,2024-03-24T00:00:00+09:00,15.0,15.84000015258789,26.25,28.0,35.5,41.900001525878906,44.0,29.31818199157715,7.785128593444824,24,24:00:00,22,22:00:00,92.0,92.0,2024-03-22T18:00:00Z,2024-03-23T03:00:00+09:00,2024-03-23T15:00:00Z,2024-03-24T00:00:00+09:00
20.8,,8539597,False,2,pm25,µg/m³,,1day,24:00:00,2024-03-23T15:00:00Z,2024-03-24T00:00:00+09:00,2024-03-24T15:00:00Z,2024-03-25T00:00:00+09:00,9.0,9.460000038146973,17.75,21.0,24.25,33.2400016784668,36.0,20.83333396911621,6.062476634979248,24,24:00:00,24,24:00:00,100.0,100.0,2024-03-23T16:00:00Z,2024-03-24T01:00:00+09:00,2024-03-24T15:00:00Z,2024-03-25T00:00:00+09:00
16.8,,8539597,False,2,pm25,µg/m³,,1day,24:00:00,2024-03-24T15:00:00Z,2024-03-25T00:00:00+09:00,2024-03-25T15:00:00Z,2024-03-26T00:00:00+09:00,9.0,9.319999694824219,15.0,19.0,19.0,21.520000457763672,22.0,16.77777862548828,4.2654948234558105,24,24:00:00,9,09:00:00,38.0,38.0,2024-03-24T16:00:00Z,2024-03-25T01:00:00+09:00,2024-03-25T03:00:00Z,2024-03-25T12:00:00+09:00
7.53,,8539597,False,2,pm25,µg/m³,,1day,24:00:00,2024-03-25T15:00:00Z,2024-03-26T00:00:00+09:00,2024-03-26T15:00:00Z,2024-03-27T00:00:00+09:00,2.0,2.640000104904175,6.0,6.0,9.0,16.719999313354492,18.0,7.529411792755127,3.9070072174072266,24,24:00:00,17,17:00:00,71.0,71.0,2024-03-25T18:00:00Z,2024-03-26T03:00:00+09:00,2024-03-26T15:00:00Z,2024-03-27T00:00:00+09:00
12.7,,8539597,False,2,pm25,µg/m³,,1day,24:00:00,2024-03-26T15:00:00Z,2024-03-27T00:00:00+09:00,2024-03-27T15:00:00Z,2024-03-28T00:00:00+09:00,3.0,4.760000228881836,11.0,13.0,14.5,19.239999771118164,21.0,12.69565200805664,3.7225942611694336,24,24:00:00,23,23:00:00,96.0,96.0,2024-03-26T16:00:00Z,2024-03-27T01:00:00+09:00,2024-03-27T15:00:00Z,2024-03-28T00:00:00+09:00
11.9,,8539597,False,2,pm25,µg/m³,,1day,24:00:00,2024-03-27T15:00:00Z,2024-03-28T00:00:00+09:00,2024-03-28T15:00:00Z,2024-03-29T00:00:00+09:00,4.0,4.420000076293945,7.0,12.5,14.0,20.579999923706055,21.0,11.909090995788574,5.4327850341796875,24,24:00:00,22,22:00:00,92.0,92.0,2024-03-27T16:00:00Z,2024-03-28T01:00:00+09:00,2024-03-28T15:00:00Z,2024-03-29T00:00:00+09:00
31.8,,8539597,False,2,pm25,µg/m³,,1day,24:00:00,2024-03-28T15:00:00Z,2024-03-29T00:00:00+09:00,2024-03-29T15:00:00Z,2024-03-30T00:00:00+09:00,5.0,5.460000038146973,21.0,28.5,47.0,59.70000076293945,62.0,31.75,17.022363662719727,24,24:00:00,24,24:00:00,100.0,100.0,2024-03-28T16:00:00Z,2024-03-29T01:00:00+09:00,2024-03-29T15:00:00Z,2024-03-30T00:00:00+09:00
